"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"23",22644,"because music","electronic","woman","justice",5.2,0,11,2016,4221,6
"24",22644,"ed banger","electronic","woman","justice",5.2,0,11,2016,4221,10
"25",22649,"modern love","electronic","wonderland","demdike stare",8.2,0,11,2016,4221,11
"26",22583,"vague terrain","electronic","defy a thing to be","bully fae",6.5,0,11,2016,4221,3
"27",22597,"break world","electronic","sixth stitch","via app",7.4,0,11,2016,4221,4
"28",22533,"important","electronic","vergers","sarah davachi",7.5,0,11,2016,4221,57
"29",22534,"tresor","electronic","shadow boat ep","porter ricks",8,0,11,2016,4221,4
"30",22592,"warp","electronic","incunabula","autechre",8.2,1,11,2016,4221,239
"31",22552,"local action","electronic","yaroze dream suite","yaroze dream suite",6.5,0,11,2016,4221,3
"32",22618,"warp","electronic","persona ep","lorenzo senni",7.5,0,11,2016,4221,239
"33",22616,"knives","electronic","ecologies ii: ecosystems of excess","j.g. biberkopf",6.3,0,11,2016,4221,1
"34",22457,"!k7","electronic","&","michael mayer",7.7,0,11,2016,4221,85
"35",22563,"kranky","electronic","monument builders","loscil",7.4,0,11,2016,4221,170
"36",22465,"northern spy","electronic","amalgam","okkyung lee, christian marclay",8,0,11,2016,4221,30
"37",22609,"warp","electronic","ded sec - watch dogs 2 (ost)","hudson mohawke",7.2,0,11,2016,4221,239
"38",22589,"columbia","electronic","collage ","the chainsmokers",3.5,0,11,2016,4221,242
"39",22589,"disruptor","electronic","collage ","the chainsmokers",3.5,0,11,2016,4221,1
"40",22455,"terrible","electronic","talk to you soon","ricky eat acid",7.3,0,11,2016,4221,11
"41",22543,"blackest ever black","electronic","you know what its like","carla dal forno",7.4,0,11,2016,4221,17
"42",22528,"honest jon's","electronic","disclosure","kassem mosse",7.9,0,11,2016,4221,22
"43",22414,"kranky","electronic","strands","steve hauschildt",7.6,0,11,2016,4221,170
"44",22413,"dial","electronic","all the right noises","roman flgel",7.8,0,10,2016,4221,10
"45",22462,"rvng intl.","electronic","tumblers from the vault (19701972)","syrinx",8.2,0,10,2016,4221,46
"46",22517,"dark entries","electronic","candida cosmica","patrick cowley, candida royalle",7.6,0,10,2016,4221,4
"47",22568,"1080p","electronic","dreamt takes","luis",6.8,0,10,2016,4221,2
"48",22546,"diagonal","electronic","nordic mediterranean organization / numerous miscommunications occur","n.m.o.",7.5,0,10,2016,4221,1
"49",22500,"mixpak","electronic","after hours","jubilee",7.4,0,10,2016,4221,6
"50",22548,"run for cover","electronic","beyond the fleeting gales","crying",7.1,0,10,2016,4221,15
"51",22442,"uovooo","electronic","popp","oval",7.5,0,10,2016,4221,2
"52",22515,"mute","electronic","these systems are failing ","moby & the void pacific choir",4,0,10,2016,4221,240
"53",22530,"sister polygon","electronic","ep a","kag",7.2,0,10,2016,4221,4
"54",22512,"tri angle","electronic","color","katie gately",7.3,0,10,2016,4221,32
"55",22412,"xl","electronic","sport","powell",8.1,0,10,2016,4221,134
"56",22390,"kompakt","electronic","cow / chill out, world!","the orb",6,0,10,2016,4221,83
"57",22493,"cititrax","electronic","adieux au dancefloor","marie davidson",8,0,10,2016,4221,1
"58",22490,"italians do it better","electronic","home ost","johnny jewel",6,0,10,2016,4221,14
"59",22411,"polydor","electronic","outer","dusky",5.7,0,10,2016,4221,58
"60",22410,"aus","electronic","there is no right time","youandewan",7.6,0,10,2016,4221,1
"61",22438,"hyperdub","electronic","notu_uronlineu","dva [hi:emotions]",7.1,0,10,2016,4221,54
"62",22445,"asthmatic kitty","electronic","private energy","helado negro",8.1,0,10,2016,4221,74
"63",22470,"history always favours the winners","electronic","everywhere at the end of time","the caretaker",7.3,0,10,2016,4221,9
"64",22375,"telephone explosion","electronic","the electric lucifer","bruce haack",7.6,0,10,2016,4221,3
"65",22430,"relapse","electronic","rr7349","s u r v i v e",7.4,0,10,2016,4221,119
"66",22388,"unseen worlds","electronic","electronic music from the seventies and eighties","carl stone",6.7,0,10,2016,4221,3
"67",22298,"planet mu","electronic","expert knob twiddlers","mike & rich",6.6,0,9,2016,4221,37
"68",22304,"editions mego","electronic","a 1000 keys","thomas brinkmann",6.9,0,9,2016,4221,51
"69",22444,"other people","electronic","sirens","nicolas jaar",8.7,1,9,2016,4221,7
"70",22387,"ninja tune","electronic","human energy","machinedrum",7.3,0,9,2016,4221,132
"71",22416,"weird world","electronic","care","how to dress well",6.8,0,9,2016,4221,19
"72",22416,"domino","electronic","care","how to dress well",6.8,0,9,2016,4221,284
"73",22406,"dfa","electronic","crooked man","crooked man",7.8,0,9,2016,4221,89
"74",22369,"leaving","electronic","dang","eola",6.8,0,9,2016,4221,16
"75",22383,"thrill jockey","electronic","furfour","grumbling fur",7.6,0,9,2016,4221,320
"76",22408,"alter","electronic","love means taking action","croatian amor",7,0,9,2016,4221,2
"77",22408,"posh isolation","electronic","love means taking action","croatian amor",7,0,9,2016,4221,3
"78",22381,"stones throw","electronic","body wash","mndsgn",7.7,0,9,2016,4221,109
"79",22365,"magic theatre music","electronic","clinging to a dream","silver apples",7.1,0,9,2016,4221,1
"80",22303,"shitkatapult","electronic","the assistenz","cristian vogel",7.4,0,9,2016,4221,7
"81",22112,"interdimensional transmissions","electronic","afro-cuban electronics","alpha 606",6.5,0,9,2016,4221,1
"82",22290,"weird world","electronic","the end of comedy","drugdealer",7.4,0,9,2016,4221,19
"83",22330,"caroline","electronic","we move","james vincent mcmorrow",7.3,0,9,2016,4221,16
"84",22281,"temporary residence","electronic","false readings on","eluvium",7,0,9,2016,4221,121
"85",22352,"warp","electronic","the serious ep","bibio",6,0,9,2016,4221,239
"86",22322,"hyperdub","electronic","ultra","zomby",7.9,0,9,2016,4221,54
"87",22332,"city slang","electronic","kiss me all night ep","junior boys",7.3,0,9,2016,4221,42
"88",22341,"bella union","electronic","killer road","soundwalk collective, patti smith, jesse paris smith",6.6,0,9,2016,4221,57
"89",22341,"sacred bones","electronic","killer road","soundwalk collective, patti smith, jesse paris smith",6.6,0,9,2016,4221,92
"90",22325,"just music","electronic","opalescent","jon hopkins",5.6,0,8,2016,4221,1
"91",22243,"casablanca","electronic","amnesty (i)","crystal castles",6.8,0,8,2016,4221,9
"92",22243,"fiction","electronic","amnesty (i)","crystal castles",6.8,0,8,2016,4221,24
"93",22257,"domino","electronic","motion graphics","motion graphics",8,0,8,2016,4221,284
"94",22252,"studio barnhus","electronic","the bells","kornl kovcs",7.7,0,8,2016,4221,1
"95",22321,"love justice sarl/justice sarl","electronic","ibifornia ","cassius",5.9,0,8,2016,4221,1
"96",22231,"uno","electronic","nexus","feral",7.4,0,8,2016,4221,10
"97",22237,"world famous","electronic","""fantasy live 1999""","tokyo black star",7.6,0,8,2016,4221,1
"98",22236,"scissor tail","electronic","blue rider songs","scott hirsch",8,0,8,2016,4221,2
"99",22246,"teklife","electronic","open your eyes","dj earl",6.9,0,8,2016,4221,3
"100",22265,"lakeshore","electronic","stranger things ost, vol. one","kyle dixon, michael stein",8,0,8,2016,4221,3
"101",22234,"endless xclusive","electronic","5tarb01","lexxi",8,0,8,2016,4221,1
"102",22225,"greco-roman","electronic","roosevelt","roosevelt",7,0,8,2016,4221,3
"103",22225,"city slang","electronic","roosevelt","roosevelt",7,0,8,2016,4221,42
"104",22214,"a-ton","electronic","chronicles 1","the 7th plain",7.2,0,8,2016,4221,1
"105",22207,"carpark","electronic","live from trona","toro y moi",6.8,0,8,2016,4221,67
"106",22189,"dfa","electronic","25 25","factory floor",6,0,8,2016,4221,89
"107",22197,"interscope","electronic","encore","dj snake",5.3,0,8,2016,4221,174
"108",22208,"die orakel","electronic","verschiebung","roman flgel",6.8,0,8,2016,4221,1
"109",22151,"joy void","electronic","flood network","katie dey",7.8,0,8,2016,4221,2
"110",22216,"columbia","electronic","generationwhy","zhu",4.8,0,8,2016,4221,242
"111",22209,"ghostly international","electronic","sweatbox dynasty","tobacco",6.7,0,8,2016,4221,13
"112",22170,"ghostly international","electronic","well worn","kllo",6.5,0,8,2016,4221,13
"113",22182,"music from memory","electronic","phantoms of dreamland","michal turtle",7.9,0,8,2016,4221,3
"114",22195,"trunk","electronic","circle of light","delia derbyshire, elsa stansfield",7.2,0,8,2016,4221,1
"115",22148,"erased tapes","electronic","night melody","rival consoles",8,0,8,2016,4221,19
"116",22192,"esp institute","electronic","jaguar mirror","thunder tillman",7.7,0,8,2016,4221,2
"117",22143,"dim mak","electronic","4oki","steve aoki",2.5,0,8,2016,4221,41
"118",22183,"growing bin","electronic","shy layers","shy layers",8.2,0,8,2016,4221,1
"119",22184,"exit","electronic","take down","metronome",8.3,0,8,2016,4221,1
"120",22190,"hw&w","electronic","d.t.s.n.t. ","stwo",6.3,0,7,2016,4221,1
"121",22190,"ultra","electronic","d.t.s.n.t. ","stwo",6.3,0,7,2016,4221,7
"122",22130,"physical editions","electronic","noise patterns","tristan perich",8,0,7,2016,4221,1
"123",22175,"technicolour","electronic","unfinished","florian kupfer",7,0,7,2016,4221,4
"124",22119,"pluto","electronic","kuiper","floating points",7.3,0,7,2016,4221,2
"125",22119,"luaka bop","electronic","kuiper","floating points",7.3,0,7,2016,4221,26
"126",22158,"sub rosa","electronic","four meditations / sound geometries","pauline oliveros",7.4,0,7,2016,4221,14
"127",22117,"last gang","electronic","operator","mstrkrft",6.5,0,7,2016,4221,24
"128",22125,"chunklet","electronic","pylon live","pylon",8,0,7,2016,4221,3
"129",22124,"honest jon's","electronic","devotional songs","shackleton",7.2,0,7,2016,4221,22
"130",22087,"planet mu","electronic","caramel","konx-om-pax",7.4,0,7,2016,4221,37
"131",22062,"international feel","electronic","sketches from an island 2","mark barrott",8,0,7,2016,4221,7
"132",22105,"!k7","electronic","dj-kicks","jackmaster",7.5,0,7,2016,4221,85
"133",22090,"warp","electronic","made to measure","darkstar",6.8,0,7,2016,4221,239
"134",22100,"feedelity","electronic","windings","lindstrm",7.7,0,7,2016,4221,2
"135",22114,"brunette editions","electronic","plum","john roberts",6.9,0,7,2016,4221,1
"136",22071,"araabmuzik label group","electronic","dream world","araabmuzik",6.1,0,7,2016,4221,1
"137",22026,"apron","electronic","fallen","steven julien",7.1,0,7,2016,4221,1
"138",22065,"xl","electronic","wildflower","the avalanches",8.5,1,7,2016,4221,134
"139",22065,"emi","electronic","wildflower","the avalanches",8.5,1,7,2016,4221,107
"140",22065,"astralwerks","electronic","wildflower","the avalanches",8.5,1,7,2016,4221,195
"141",22065,"modular","electronic","wildflower","the avalanches",8.5,1,7,2016,4221,38
"142",22091,"glydezone","electronic","nite-funk","nite-funk",7.8,0,7,2016,4221,1
"143",22072,"warp","electronic","cheetah","aphex twin",8.2,0,7,2016,4221,239
"144",22027,"culvert music","electronic","hot hot heat","hot hot heat",5.1,0,7,2016,4221,2
"145",22078,"break world","electronic","human story 3","james ferraro",5,0,7,2016,4221,4
"146",22042,"trip","electronic","b","bjarki",5.8,0,6,2016,4221,1
"147",22039,"superior viaduct","electronic","suicide","suicide",9.1,1,6,2016,4221,8
"148",22018,"phlex","electronic","muzik","delorean",5,0,6,2016,4221,2
"149",22019,"mass appeal","electronic","the mountain will fall","dj shadow",6.6,0,6,2016,4221,9
"150",22014,"island","electronic","warm leatherette","grace jones",8.5,0,6,2016,4221,94
"151",22014,"umg","electronic","warm leatherette","grace jones",8.5,0,6,2016,4221,3
"152",22049,"island","electronic","moog for love","disclosure",6,0,6,2016,4221,94
"153",22017,"twosyllable","electronic","secretly susan","sui zhen",7.8,0,6,2016,4221,7
"154",21984,"olsen","electronic","the big cover-up","todd terje, the olsens",6.9,0,6,2016,4221,4
"155",22010,"mixpak","electronic","pagan","palmistry",5,0,6,2016,4221,6
"156",21951,"kompakt","electronic","weval","weval",8,0,6,2016,4221,83
"157",21991,"!k7","electronic","alpha","audion",6.1,0,6,2016,4221,85
"158",21974,"gloriette","electronic","liquid cool","nite jewel",6.2,0,6,2016,4221,4
"159",21972,"smalltown supersound","electronic","midnight","dan lissvik",6.9,0,6,2016,4221,60
"160",21965,"glassnote","electronic","thick as thieves","the temper trap",5.7,0,6,2016,4221,26
"161",21990,"aircheology","electronic","twentyears","air",5.6,0,6,2016,4221,1
"162",21990,"parlophone","electronic","twentyears","air",5.6,0,6,2016,4221,60
"163",21967,"warp","electronic","the digging remedy","plaid",6.5,0,6,2016,4221,239
"164",21966,"gronland","electronic","movie!","holger czukay",8,0,6,2016,4221,4
"165",21980,"lefse","electronic","fantasma","cornelius",8.8,1,6,2016,4221,24
"166",21946,"moshi moshi","electronic","piano","alexis taylor",7.1,0,6,2016,4221,34
"167",21941,"polyvinyl","electronic","wild things","ladyhawke",5.7,0,6,2016,4221,135
"168",21996,"m-plant","electronic","victorious ","floorplan",6.8,0,6,2016,4221,1
"169",21961,"ingrid","electronic","breakin point","peter bjorn and john",5.7,0,6,2016,4221,3
"170",21962,"domino","electronic","ash & ice","the kills",6.2,0,6,2016,4221,284
"171",21938,"r&s","electronic","levitate","lone",7.6,0,6,2016,4221,23
"172",21921,"mom & pop","electronic","skin","flume",6.4,0,6,2016,4221,39
"173",21921,"transgressive","electronic","skin","flume",6.4,0,6,2016,4221,19
"174",21921,"future classic","electronic","skin","flume",6.4,0,6,2016,4221,4
"175",21723,"innovative leisure","electronic","congrats","holy fuck",6.6,0,6,2016,4221,15
"176",21958,"hotflush","electronic","folding time","sepalcure",6,0,6,2016,4221,16
"177",21786,"hippie dance","electronic","mondo alterado","rebolledo",7.4,0,5,2016,4221,1
"178",21950,"warp","electronic","elseq 1","autechre",7,0,5,2016,4221,239
"179",21947,"innovative leisure","electronic","faraway reach","classixx",7.7,0,5,2016,4221,15
"180",21874,"city slang","electronic","good luck and do your best","gold panda",7.4,0,5,2016,4221,42
"181",21926,"rough trade","electronic","the triad","pantha du prince",8,0,5,2016,4221,145
"182",21920,"dial","electronic","wave","christian naujoks",7.5,0,5,2016,4221,10
"183",21912,"mexican summer","electronic","union and return","torn hawk",7.3,0,5,2016,4221,66
"184",21919,"dfa","electronic","what follows","shit robot",6.7,0,5,2016,4221,89
"185",21911,"brainfeeder","electronic","fool","jameszoo",6.9,0,5,2016,4221,28
"186",21785,"warp","electronic","under the sun","mark pritchard",7.6,0,5,2016,4221,239
"187",21876,"columbia","electronic","electronica 2: the heart of noise","jean-michel jarre",4.9,0,5,2016,4221,242
"188",21820,"editions mego","electronic","get in","pita",7.2,0,5,2016,4221,51
"189",21782,"dead oceans","electronic","will","julianna barwick",8.2,0,5,2016,4221,79
"190",21783,"asthmatic kitty","electronic","island universe story: selected works","helado negro",7.8,0,5,2016,4221,74
"191",21701,"bureau b","electronic","cluster 71","cluster",8.5,0,5,2016,4221,22
"192",21857,"masters of bates","electronic","trgame tierra","big black delta",4.7,0,5,2016,4221,2
"193",21804,"stones throw","electronic","egyptian lover 1983-1988","egyptian lover",8,0,5,2016,4221,109
"194",21848,"rinse","electronic","honey","katy b",7,0,5,2016,4221,7
"195",21848,"virgin emi","electronic","honey","katy b",7,0,5,2016,4221,7
"196",21813,"dfa","electronic","crime cutz","holy ghost!",7,0,5,2016,4221,89
"197",21834,"susannasonata","electronic","triangle","susanna",6.4,0,4,2016,4221,3
"198",21833,"modern love","electronic","too many voices","andy stott",7.1,0,4,2016,4221,11
"199",21696,"crammed discs","electronic","konono n1 meets batida","konono n1, batida",6.8,0,4,2016,4221,17
"200",21695,"mule musiq","electronic","yoyogi park","lawrence",7.9,0,4,2016,4221,1
"201",21778,"leaving","electronic","flutes, echoes, it's all happening!","carlos nio & friends",6.8,0,4,2016,4221,16
"202",21831,"self-released","electronic","iii :  (imagining the life of pablo)","toyomu",6,0,4,2016,4221,475
"203",21780,"peder mannerfelt produktion","electronic","controlling body","peder mannerfelt",8.1,0,4,2016,4221,1
"204",21732,"dais records","electronic","commitment to complications","youth code",7.5,0,4,2016,4221,12
"205",21769,"mute","electronic","junk","m83",6.8,0,4,2016,4221,240
"206",21690,"teklife","electronic","afterlife","dj rashad",7.2,0,4,2016,4221,3
"207",21766,"ninja tune","electronic","i aka i","ash koosha",7.5,0,4,2016,4221,132
"208",21768,"mute","electronic","amen & goodbye","yeasayer",5.4,0,4,2016,4221,240
"209",21628,"kompakt","electronic","the follower","the field",7.9,0,4,2016,4221,83
"210",21627,"running back","electronic","rojus","leon vynehall",7.8,0,4,2016,4221,3
"211",21576,"x2","electronic","super","pet shop boys",6.9,0,4,2016,4221,1
"212",21757,"ghostly international","electronic","silicon tare ep","com truise",5.9,0,4,2016,4221,13
"213",21626,"on-u sound","electronic","#n/a","nisennenmondai",7.8,0,4,2016,4221,7
"214",21551,"warp","electronic","a mineral love","bibio",6.8,0,3,2016,4221,239
"215",21710,"record company ten","electronic","living life golden","elliphant",6.7,0,3,2016,4221,3
"216",21710,"kemosabe","electronic","living life golden","elliphant",6.7,0,3,2016,4221,4
"217",21754,"mute","electronic","iii (moderat)","moderat",7.1,0,3,2016,4221,240
"218",21754,"monkeytown","electronic","iii (moderat)","moderat",7.1,0,3,2016,4221,15
"219",21652,"milan","electronic","the terminator ost","brad fiedel",8.5,1,3,2016,4221,16
"220",21761,"rj's electrical connections","electronic","dame fortune","rjd2",7,0,3,2016,4221,5
"221",21746,"felte","electronic","wuthering drum","public memory",6.9,0,3,2016,4221,6
"222",21656,"emi","electronic","genius of time","larry levan",8.8,1,3,2016,4221,107
"223",21625,"lustwerk music","electronic","scenes 2012-2015","studio ost",8.1,0,3,2016,4221,2
"224",21702,"hyperdub","electronic","bbf hosted by dj escrow","babyfather",6,0,3,2016,4221,54
"225",21738,"luckyme","electronic","aa","baauer",7.3,0,3,2016,4221,6
"226",21646,"sacred bones","electronic","compassion","lust for youth",6.2,0,3,2016,4221,92
"227",21606,"halocline trance","electronic","sign of the cross every mile to the border","ceramic tl",7,0,3,2016,4221,1
"228",21509,"astralwerks","electronic","barbara barbara, we face a shining future","underworld",8.1,0,3,2016,4221,195
"229",21668,"warp","electronic","the last panthers","clark",7.1,0,3,2016,4221,239
"230",21711,"awesome tapes from africa","electronic","trotro","dj katapila",7.7,0,3,2016,4221,5
"231",21563,"domino","electronic","potential","the range",8,0,3,2016,4221,284
"232",21555,"hyperdub","electronic","brute","fatima al qadiri",7.3,0,3,2016,4221,54
"233",21669,"counter records","electronic","no fantasy required","tiga",6.2,0,3,2016,4221,8
"234",21659,"young art","electronic","fovere","tokimonsta",5.5,0,3,2016,4221,2
"235",21603,"nacional","electronic","hiperasia","el guincho",6.8,0,3,2016,4221,9
"236",21682,"play it again sam","electronic","belgica original soundtrack","soulwax",6.2,0,3,2016,4221,3
"237",21512,"friends of friends","electronic","petrol","anenon",7.6,0,3,2016,4221,14
"238",21585,"software","electronic","arcology","thug entrancer",7.8,0,3,2016,4221,25
"239",21661,"2mr","electronic","january sun","kedr livanskiy",7.8,0,3,2016,4221,3
"240",21573,"alleviated","electronic","outer acid ep","mr. fingers",8.1,0,3,2016,4221,3
"241",21621,"victor","electronic","carta","especia",6.5,0,3,2016,4221,2
"242",21611,"fade to mind","electronic","cellar ep","na",7.5,0,2,2016,4221,10
"243",21572,"dfa","electronic","eraser stargazer","guerilla toss",6.9,0,2,2016,4221,89
"244",21435,"smalltown supersound","electronic","principe del norte","prins thomas",6.8,0,2,2016,4221,60
"245",21620,"help yourself","electronic","talk to me so i can fall asleep","crater",6.5,0,2,2016,4221,2
"246",21559,"border community","electronic","outdoor museum of fractals / 555hz","james holden, luke abbott",7.9,0,2,2016,4221,9
"247",21571,"planet mu","electronic","traditional synthesizer music","venetian snares",7.4,0,2,2016,4221,37
"248",21571,"timesig","electronic","traditional synthesizer music","venetian snares",7.4,0,2,2016,4221,1
"249",21580,"!k7","electronic","dj-kicks","moodymann",8.4,1,2,2016,4221,85
"250",21533,"tri angle","electronic","daze","brood ma",7.5,0,2,2016,4221,32
"251",21398,"golf channel","electronic","basar","africaine 808",7.9,0,2,2016,4221,4
"252",21494,"international feel","electronic","on vacation","cfcf",7.8,0,2,2016,4221,7
"253",21493,"smallville","electronic","a minor thought","moomin",7.5,0,2,2016,4221,2
"254",21530,"r&s","electronic","the gamble","nonkeen",7.5,0,2,2016,4221,23
"255",21516,"dfa","electronic","demain est une autre nuit","essaie pas",7.7,0,2,2016,4221,89
"256",21553,"virgin","electronic","ritual spirit ep","massive attack",7,0,2,2016,4221,149
"257",21553,"emi","electronic","ritual spirit ep","massive attack",7,0,2,2016,4221,107
"258",21409,"virgin","electronic","opus","eric prydz",6.2,0,2,2016,4221,149
"259",21539,"r&s","electronic","love over will","alex smoke",7,0,2,2016,4221,23
"260",21513,"city slang","electronic","big black coat","junior boys",8,0,2,2016,4221,42
"261",21552,"loma vista","electronic","stand up and speak","djds",6.7,0,2,2016,4221,12
"262",21464,"rad cult","electronic","seefu lilac","black moth super rainbow",5.5,0,2,2016,4221,2
"263",21519,"other people","electronic","jream house","a pleasure",6.7,0,2,2016,4221,7
"264",21437,"on-u sound","electronic","my life in a hole in the ground","african head charge",8.2,0,2,2016,4221,7
"265",21450,"dynamic tension","electronic","from farthest known objects","surgeon",7.8,0,1,2016,4221,2
"266",21431,"2mr","electronic","agony planet","dust",6.8,0,1,2016,4221,3
"267",21421,"plus 8","electronic","from my mind to yours","richie hawtin",6.5,0,1,2016,4221,2
"268",21391,"alleviated","electronic","another side","fingers inc.",8.8,1,1,2016,4221,3
"269",21405,"strictly rhythm","electronic","strictly mood ii swing","mood ii swing",6.9,0,1,2016,4221,2
"270",21404,"safe trip","electronic","sorry for the late reply: various remixes for various reasons","young marco",7.4,0,1,2016,4221,1
"271",21377,"wild oats","electronic","from joy","kyle hall",8.2,0,1,2016,4221,1
"272",21348,"self-released","electronic","why pay more?","the soft pink truth",7,0,1,2016,4221,475
"273",21326,"xl","electronic","a new place 2 drown","archy marshall",8.6,1,12,2015,4221,134
"274",21326,"true panther","electronic","a new place 2 drown","archy marshall",8.6,1,12,2015,4221,40
"275",20947,"grnland","electronic","complete works","harmonia",8.5,1,12,2015,4221,11
"276",21327,"leaving","electronic","technoself","deantoni parks",7.2,0,12,2015,4221,16
"277",21313,"schwebung","electronic","before nostromo","stephan mathieu",7.9,0,12,2015,4221,1
"278",21265,"universal","electronic","second toughest in the infants","underworld",8.8,1,12,2015,4221,117
"279",21318,"fractal fantasy","electronic","100 ladies ep","zora jones",8,0,12,2015,4221,1
"280",21212,"numbers","electronic","product","sophie",6.6,0,12,2015,4221,2
"281",21302,"planet mu","electronic","free fall ep","jlin",7.6,0,12,2015,4221,37
"282",21294,"pc music","electronic","broken flowers ep","danny l harle",6.9,0,12,2015,4221,3
"283",21288,"decks","electronic","paranoid london","paranoid london",8.2,0,11,2015,4221,1
"284",21169,"brainfeeder","electronic","sold out","dj paypal",7.9,0,11,2015,4221,28
"285",21299,"smalltown supersound","electronic","gode","andr bratten",7.4,0,11,2015,4221,60
"286",21240,"brainfeeder","electronic","kneedelus","kneebody and daedelus",8,0,11,2015,4221,28
"287",21258,"dekmantel","electronic","invisible switch","joey anderson",7.4,0,11,2015,4221,6
"288",21277,"janus","electronic","agitations","lotic",8.2,0,11,2015,4221,1
"289",21159,"self-released","electronic","rave cave 2 ep","andrew hung",7.2,0,11,2015,4221,475
"290",21221,"hyperdub","electronic","nothing","kode9",7.6,0,11,2015,4221,54
"291",21225,"break world","electronic","skid row","james ferraro",6.6,0,11,2015,4221,4
"292",21253,"warp","electronic","evenifudontbelieve","rustie",7.3,0,11,2015,4221,239
"293",21232,"self-released","electronic","vulnicura strings","bjrk",6.8,0,11,2015,4221,475
"294",21229,"xl","electronic","modern warfare eps 1-3","special request",7.3,0,11,2015,4221,134
"295",21180,"interscope","electronic","delirium","ellie goulding",7.2,0,11,2015,4221,174
"296",21180,"cherrytree","electronic","delirium","ellie goulding",7.2,0,11,2015,4221,16
"297",21110,"luaka bop","electronic","elaenia","floating points",8.4,1,11,2015,4221,26
"298",21110,"pluto","electronic","elaenia","floating points",8.4,1,11,2015,4221,2
"299",21162,"anticon","electronic","technomancer","pictureplane",5.9,0,11,2015,4221,93
"300",21120,"dark entries","electronic","muscle up","patrick cowley",8.1,0,10,2015,4221,4
"301",21187,"hausu mountain","electronic","rip chrysalis","eartheater",7.7,0,10,2015,4221,2
"302",21223,"dekmantel","electronic","under the same sky","basic soul unit",6.5,0,10,2015,4221,6
"303",21119,"columbia","electronic","angels & ghosts","dave gahan, soulsavers",5.7,0,10,2015,4221,242
"304",21081,"tri angle","electronic","communion","rabit",7.9,0,10,2015,4221,32
"305",21196,"planet mu","electronic","bizarster","luke vibert",6.4,0,10,2015,4221,37
"306",21222,"erased tapes","electronic","howl","rival consoles",7.7,0,10,2015,4221,19
"307",21211,"esp institute","electronic","karamika","karamika",7.3,0,10,2015,4221,2
"308",21117,"columbia","electronic","electronica 1: the time machine","jean-michel jarre",4,0,10,2015,4221,242
"309",21195,"prncipe discos","electronic","alma do meu pai ep","dj firmeza",7.6,0,10,2015,4221,1
"310",21181,"downtown","electronic","i thought the future would be cooler","yacht",5,0,10,2015,4221,53
"311",21148,"xl","electronic","let's jam 1 ep","zomby",4.9,0,10,2015,4221,134
"312",21041,"transgressive","electronic","vega intl. night school","neon indian",8.6,1,10,2015,4221,19
"313",21041,"mom & pop","electronic","vega intl. night school","neon indian",8.6,1,10,2015,4221,39
"314",21150,"warner music group","electronic","st germain","st germain",6,0,10,2015,4221,4
"315",21088,"eskimo","electronic","paradise goulash","prins thomas",8,0,10,2015,4221,4
"316",21018,"hyperdub","electronic","off that loud ep","dj spinn",7.3,0,10,2015,4221,54
"317",21085,"partisan","electronic","sore","dilly dally",8,0,10,2015,4221,30
"318",21051,"pan","electronic","safe","visionist",7.9,0,10,2015,4221,10
"319",21095,"kranky","electronic","where all is fled","steve hauschildt",7.5,0,10,2015,4221,170
